,Gene Description,Gene Accession Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AFFX-HSAC07/X00351_5_at (endogenous control),AFFX-HSAC07/X00351_5_at,3.200940339,3.097184077,2.980989023,3.295969295,3.273601733,3.47088739,3.18308396,3.229401392,2.837149717,3.435517253,3.287961453,3.571493208,3.070291686,3.278064462,3.090076932,3.278107803,2.678096038,3.669966608,3.130116134,2.203514222,0.536813146,3.068084769,3.655193904,2.934752109,2.860685071,2.724775632,3.234828587,3.146158063,3.05053266,2.91858486,3.263067522,3.089958146,2.880231256,3.065875704,3.174802134,2.847732327,3.02312225,3.173632429,3.394491293,3.114961716,3.167514075,3.280580604,3.406370215,3.586183987,3.186045117,3.683285711,2.852232306,2.689793508,3.089094903,3.169989063,3.217669523,2.037531576,2.997333061,3.278679036,3.768453041,2.999300368,3.946223909,3.440396851,3.342672186,3.734976324,3.349190215,2.862422196,2.948734895,2.537982006,2.915158431,3.363188833,3.448698008,2.80494199,3.025302202,3.740260361,3.582902496,2.933401348
12,AFFX-HSAC07/X00351_M_at (endogenous control),AFFX-HSAC07/X00351_M_at,3.200940339,3.097184077,2.980989023,3.309298378,3.273601733,3.47088739,3.272197293,3.229401392,2.837149717,3.435517253,3.287961453,3.876029933,3.151725577,3.278064462,3.090076932,3.393189266,2.732155724,3.669966608,3.44367984,2.544244646,-1.045769178,3.306462637,3.655193904,3.256640546,3.249740587,3.346738057,3.496006423,3.162779412,3.412750201,2.91858486,3.263067522,3.089958146,2.880231256,3.249310596,3.463442505,2.847732327,3.02312225,3.207418469,3.394491293,3.398030032,3.61787986,3.317111322,3.579674331,3.586183987,3.512719347,3.750095166,3.438513944,2.894553383,3.089094903,3.169989063,3.384715701,2.60987582,2.997333061,3.278679036,3.768453041,3.476579522,4.009332452,3.440396851,3.463574028,3.734976324,3.349190215,3.169377049,2.948734895,2.679944966,3.534004646,3.758531762,3.448698008,2.966510048,3.025302202,3.793967627,3.582902496,3.35659572
13,AFFX-HUMTFRR/M11507_5_at (endogenous control),AFFX-HUMTFRR/M11507_5_at,-0.531331473,0.092838476,0.144400134,-0.806394057,-0.39537474,-0.369392659,-0.843574931,0.088484379,-0.323539896,-1.185748659,-0.376919396,-0.182401007,-0.781255475,-0.932626546,-0.861269393,-1.083435242,-0.181765994,-0.117461387,-0.744023091,-0.667750663,-1.045769178,-0.128548837,-0.0194926,-0.591367962,-0.132365239,-0.748708898,-0.833712861,0.359528711,0.532503188,-0.109253988,-0.145440038,-0.181042129,0.279494453,-0.202321485,0.191819099,-0.544087672,0.471770895,1.191012582,-0.86222481,-0.512815294,-0.710193909,0.195379459,0.603244862,-0.920518325,-0.756928441,-1.120330201,-0.361861264,-0.760304527,-0.180968504,-0.147700418,0.197017409,-0.705397619,-0.200460869,-0.798884405,-0.750081396,-0.200634277,-0.729214306,-0.478788487,-1.062541297,-0.40211224,-0.186926282,-0.225542622,-0.468871672,-0.216897611,-0.437720498,-1.018678067,-0.286987862,-0.605050659,-0.828255015,-0.629931494,-0.66074581,-0.523487092
14,AFFX-HUMTFRR/M11507_M_at (endogenous control),AFFX-HUMTFRR/M11507_M_at,-1.414095164,-0.963760138,-1.423498758,-1.3627031,-1.373415231,-1.192833271,-1.33742052,-1.335413943,-1.424392336,-1.185748659,-1.243743654,-1.01377406,-1.318316435,-1.356060601,-1.339686102,-1.357386275,-1.086566828,-1.179975696,-1.207606614,-1.224797654,-1.045769178,-1.111595482,-1.187118125,-1.434645277,-0.493381415,-1.24631406,-1.216362346,-0.084752334,0.162283741,-1.272406126,-1.228487646,-1.404189209,-0.076632689,-1.314257825,-0.307281467,-1.365587283,0.377887915,0.872845986,-1.225212914,-1.254586207,-1.145432169,-0.002106202,0.26578477,-1.072448275,-1.06247623,-1.120330201,-1.270905826,-1.431552747,-1.304079068,-0.857646367,-0.114558086,-0.990861792,-0.042333447,-1.3272715,-1.156389118,-1.292206597,-1.058009908,-1.224099054,-1.098814617,-1.110465113,-1.216220492,-1.31109581,-1.420360839,-1.481627658,-1.143157921,-0.854108295,-1.183311149,-1.362381334,-1.422468728,-1.041303633,-1.21065485,-1.29024248
15,AFFX-HUMTFRR/M11507_3_at (endogenous control),AFFX-HUMTFRR/M11507_3_at,-0.42117059,-0.420498528,-0.880278315,-0.483097584,-0.408048119,-0.459981369,-1.021143993,-1.209706434,-0.43987789,-0.126626473,-0.58551789,-0.370337036,-0.877250442,-0.054427322,-0.43170157,-0.959317839,-0.63475774,0.311029627,-0.797914838,-0.754247931,-0.491317601,-0.647257984,-0.511568802,-1.434645277,0.442809471,-0.82660768,-0.568134644,0.387223317,0.878729724,-0.058360275,-0.142840902,-0.368683366,0.852815371,-0.138523699,-0.064105052,-0.475977502,1.114168853,1.760005199,-0.471019175,-1.254586207,-1.145432169,0.687391798,0.75445413,-1.072448275,-1.06247623,-0.69975585,-0.519897817,-0.740567187,-1.025277022,0.443130032,0.653659257,-0.990861792,0.547271858,-0.628363343,-0.221744974,-0.382414985,-1.058009908,0.238410617,-1.098814617,-0.467982086,-0.213086502,-1.31109581,-0.7654013,-0.723708208,-0.75728418,-0.500123883,0.173058688,-1.039592345,-0.681168346,-0.798698307,-0.157391384,-0.576532937
16,AFFX-M27830_5_at (endogenous control),AFFX-M27830_5_at,2.416141812,1.370299201,1.617493919,1.785930441,0.84682388,2.17512972,2.668343828,2.042736757,2.029367449,-1.185748659,1.192583844,2.596283112,-1.318316435,0.321636082,1.560303936,-1.156033002,-1.510219388,1.963202847,-0.855052811,-0.604687033,-1.045769178,2.943185073,2.926274786,-0.606337676,2.922216968,-0.173357877,2.354791542,1.158730724,-0.145795165,-0.663668757,2.009005137,1.297248833,0.404549615,0.245214668,1.526839865,0.270950627,1.074861505,1.996569851,2.562989236,-1.254586207,-0.175735316,-0.592186467,0.464176459,3.586183987,3.500565819,3.750095166,-0.753438209,0.909573693,2.883403697,-1.158147636,1.04563699,-0.110786819,1.212069685,-1.3272715,-1.118330161,-0.055666458,-1.058009908,-1.224099054,-0.25508894,-1.110465113,-1.216220492,-0.694767426,0.587326053,-1.150842081,-0.820000675,0.163800422,-0.550689646,-0.136291372,-0.723550928,3.793967627,-0.115002368,-0.153482621
17,AFFX-M27830_M_at (endogenous control),AFFX-M27830_M_at,2.390039926,1.847181226,1.623735597,1.578856263,0.784808292,2.311322338,1.637283038,2.096807158,1.655279429,0.336233224,1.940526629,3.022708295,0.609060867,1.269843296,1.785201786,0.892236076,0.328312304,2.753773018,0.963797142,0.242028327,1.260249419,3.028915975,3.245185025,0.756312366,2.981588719,1.656979176,2.134414885,1.549305982,1.048376282,1.18851804,2.253624544,1.629778944,0.931012632,1.498809532,2.197111951,1.262684374,1.89461682,2.47490666,3.394491293,1.610490446,0.764243882,1.67698497,1.263188815,3.138736515,3.30469472,3.710357595,0.817229067,1.505769114,2.953428891,0.597061304,1.618970861,1.7150646,1.740315037,0.548500243,0.294471866,1.537969108,1.16748919,0.875469031,1.311022076,0.406831909,0.132776678,1.725046907,1.448561715,-0.23981891,1.389844036,1.731416498,1.51831729,1.012052329,0.779023884,3.793967627,1.473092708,1.067863278
18,AFFX-M27830_3_at (endogenous control),AFFX-M27830_3_at,0.817820924,0.306247056,0.509014402,0.167295397,-0.000304873,-0.256585673,0.498713915,0.793953218,0.253945831,0.677629169,0.582367256,0.220373904,-0.195019873,0.621359435,-0.214405405,0.777107118,0.683760389,0.726201666,0.774888811,0.168247288,0.774149482,0.618977527,0.061185082,0.566105081,1.057794767,0.661660307,0.318004245,0.821680734,-0.118618159,-0.117369854,0.060333671,0.580936494,0.982060913,0.876032905,1.041644031,0.5517692,0.657485391,0.098076498,0.155938149,-0.078649407,-1.145432169,0.647802226,0.614300638,-0.38704425,-0.47961377,-1.120330201,-0.127503573,0.530814002,0.513069502,-1.280712643,-1.227021204,-0.990861792,0.553544533,0.474324838,0.261274364,0.638553575,0.768543531,1.084664917,0.20839124,0.09103049,0.369714687,0.184208861,0.651720628,0.24509994,-1.143157921,-0.597979861,-1.165237689,-1.362381334,0.568772524,-0.4449532,0.606819112,0.556235844
19,AFFX-HSAC07/X00351_3_st (endogenous control),AFFX-HSAC07/X00351_3_st,1.673261766,1.688044053,1.555845548,1.262074941,0.444244051,1.379906168,2.063723218,0.802343579,2.248909529,0.567729444,1.259963347,1.622596236,0.626657227,2.000295401,1.287643505,1.212973696,1.258611849,2.216769858,1.167406292,0.81693976,0.594000381,1.197854099,1.576975754,-1.029540108,1.312400051,0.654752808,2.282204798,0.793768299,-0.014240591,0.949415943,1.243335308,1.031962298,0.97058828,1.147143252,1.472073088,0.897942012,0.867114889,0.781631808,0.438524455,0.45241732,1.495849238,0.860185559,1.078691679,1.45051826,0.478963652,1.042155624,0.942854035,0.73434925,1.902404424,0.483926017,0.559617485,2.090921913,0.422814328,0.797150475,0.89249299,0.793045962,0.940381627,1.052040374,1.669476679,1.520371224,0.827687406,1.045428052,1.902886466,0.654709854,0.943148487,1.28614563,0.904418082,0.721570475,0.19054857,1.964842895,0.649942652,0.74410367
20,AFFX-HUMGAPDH/M33197_M_st (endogenous control),AFFX-HUMGAPDH/M33197_M_st,-1.161634781,-0.372795806,0.013939262,-1.3627031,-1.373415231,-0.177181531,-0.843574931,-1.335413943,0.153764322,-1.185748659,0.050332311,-0.452823762,-1.318316435,-0.132282204,-0.876537942,-0.549685088,-1.510219388,0.108271215,-1.207606614,-0.80773942,-0.665041541,0.1537485,-0.511568802,-1.398391233,0.082559105,-1.24631406,-1.216362346,-0.168284861,-1.063445157,-0.140108738,-0.852123493,-0.690041968,0.439960171,-0.41273956,-0.02988146,-0.06508142,0.15201661,0.101844252,-0.331270713,-0.356165072,-0.405424326,-1.24638365,-0.994189074,-0.039846535,-0.817266713,-1.120330201,-0.309539245,-1.431552747,-1.304079068,0.076430846,0.062321648,0.129122589,-0.584266101,-1.117527126,-0.98758848,-1.292206597,-0.582510601,-1.224099054,-1.002297141,-1.110465113,-1.216220492,-1.31109581,-0.273358805,-1.481627658,-1.143157921,-1.018678067,-0.484684031,-1.362381334,-0.605540589,0.110509374,-0.948428629,-0.871330562
21,AFFX-HUMGAPDH/M33197_3_st (endogenous control),AFFX-HUMGAPDH/M33197_3_st,0.129455208,0.121310341,0.493904559,-0.272032955,-1.206474866,0.409748955,0.077275615,-0.317785405,0.257352261,-0.554594426,0.091298956,0.820296278,-1.047494277,-0.106360296,-0.052468974,-0.690035354,-0.951975905,0.195960883,-0.372982901,-0.582258165,-1.010106315,0.25750659,-0.184510849,-1.434645277,0.778173544,-0.638270198,-0.18704669,-0.016088784,-1.063445157,-0.458335623,-0.235797182,-0.41092584,-0.180870283,0.29994133,-0.007724606,-0.051330674,-0.092168254,0.489546574,-1.225212914,0.155623047,-0.578250508,-0.83507636,-0.441859619,-0.532903814,-1.06247623,-1.037629184,-1.270905826,-0.597027932,-0.370585739,-0.223129884,0.157003208,0.988555532,0.284984725,-1.3272715,-0.630129008,-0.780071852,0.018735589,-1.224099054,-0.41263304,-0.453479518,-0.804740537,-1.31109581,0.21711803,-0.274270065,-0.880343617,-1.018678067,-1.183311149,-1.362381334,-1.422468728,0.284212623,-0.846770286,-0.511670091
22,AFFX-HSAC07/X00351_M_st (endogenous control),AFFX-HSAC07/X00351_M_st,-0.312034264,-0.086016467,0.33777013,0.138913653,-1.373415231,0.601859005,0.042992115,0.798996821,0.05742381,-0.630518641,-0.429151609,0.01536492,-0.893411745,0.258431176,-0.58653002,-0.90005489,-0.336903883,0.229338697,-0.791773468,-1.534413371,-1.045769178,0.306415786,0.045586084,0.078580512,-0.372367559,-0.427868646,0.515900164,-0.168284861,-0.645140653,0.074610203,0.343853136,-0.090194506,0.533932964,-0.229156615,0.568034581,0.230677111,0.238308255,0.595301027,-0.626701802,0.541549677,-0.422645937,0.075569119,0.347672227,-0.607227394,-1.06247623,-0.783819929,-1.270905826,-1.184464655,0.741156016,0.148058846,-0.539932661,-0.93221041,-0.1816422,-1.041566468,-0.427230715,0.246861272,-0.230736621,-0.099350287,-0.2115585,-0.290671597,0.021790153,-0.389603089,0.23868864,-0.027214967,-0.880343617,-1.018678067,-0.631764109,-1.345490597,-1.422468728,0.260213113,-0.79671826,-0.777743598
23,GB DEF = GABAa receptor alpha-3 subunit,A28102_at,-1.039349246,-0.490658344,-1.423498758,0.088941351,-1.221864086,-0.280106144,0.06331317,0.612431051,-1.424392336,-0.582329456,-0.924370335,0.21769386,-1.318316435,-0.652877234,-1.339686102,-0.499699721,-1.453663027,-1.179975696,0.135809361,-0.043858157,-1.045769178,-0.89466673,-0.123142046,-0.718518754,0.100213225,-1.041570542,0.249741123,-0.810480934,0.009387412,-0.165650447,0.170739577,-0.203575557,-0.622342616,-0.251213259,0.278953771,-1.365587283,-0.532594376,-0.158009135,-0.424527945,0.133741344,-0.245032573,-1.24638365,0.416242921,-0.039846535,0.346709123,-1.04647401,-1.270905826,-0.603667288,-1.304079068,0.080154654,0.115169565,-0.711656649,-1.443618533,-1.161806414,-0.203400779,0.013318729,-0.570183816,0.984760515,-0.117310363,0.217839143,-0.881977705,-0.148942241,-0.237761958,-0.489871056,-0.082817406,-0.238960987,-0.365469615,-0.745946151,-0.952297715,-0.172144363,-1.054324647,-1.29024248
24,mRNA,AB000115_at,-0.474583879,-0.534930617,-0.316675608,-1.210337146,-0.752582627,-1.192833271,-0.859867505,-0.359351094,-0.850806871,-1.074461795,-0.802021347,-0.421057967,-1.226399651,-0.898804279,-0.856238659,-0.990418439,-1.005067228,-0.532032653,-0.438164813,0.947504832,-0.457366963,-1.111595482,-0.540194473,-0.450469647,1.304193226,-1.158862994,-0.680968898,-0.703873009,-1.036033833,-0.552907095,-0.526685154,-0.165603104,0.749930936,-0.665131418,-0.035501423,-1.365587283,-0.297225307,-1.299149559,-0.387520598,-0.997571088,-0.951138708,-0.956772598,-0.821339971,-0.352884935,0.541615535,-0.890955993,1.108318837,-1.217665336,-0.278500692,-0.750754418,-1.029079661,-0.990861792,-1.443618533,-0.488464606,-1.156389118,-1.028660265,-0.788399447,0.752475417,-0.624529117,-0.492653591,-1.216220492,-0.139525388,-0.382169419,-0.734796114,-1.098194037,-0.963552349,0.28741403,-1.353894156,0.90339124,-0.312019319,-0.687504284,-0.894814026
25,MNK1,AB000409_at,-1.414095164,-1.335163026,-1.119181318,-1.3627031,-0.583321255,-1.192833271,-1.33742052,-1.335413943,-1.095200882,-1.185748659,-1.243743654,-0.760992604,-1.318316435,-1.356060601,-1.009375497,-1.357386275,-1.323692053,-1.179975696,-1.207606614,-1.534413371,-1.045769178,-1.111595482,-1.187118125,-0.295316322,-1.217174178,-1.24631406,-1.216362346,-1.385727619,-1.063445157,-0.176530483,-1.228487646,-1.404189209,-1.434727011,-0.782735542,-1.214385383,-0.143167003,-1.31181697,-1.299149559,-1.225212914,-0.689850487,-0.936000452,-1.24638365,-0.921198084,-0.897472956,-0.630011722,-1.120330201,-1.270905826,-1.431552747,-1.304079068,-1.280712643,-1.227021204,-0.990861792,-1.443618533,-0.21397443,-1.156389118,-1.292206597,-1.058009908,-1.224099054,-1.098814617,-1.110465113,-1.216220492,-0.080648805,-0.191102081,0.383815021,-1.143157921,-1.018678067,-1.183311149,-1.353894156,-1.226910618,-1.041303633,-1.21065485,-1.29024248
26,VRK1,AB000449_at,-1.414095164,-0.87689715,-0.314254826,-0.434817462,-0.334512673,-0.419493399,-1.088858808,-1.335413943,-0.466285223,-0.536562885,-0.242179546,-0.573056574,0.68380299,-0.308371072,0.061580977,-1.148514552,-0.425660402,-0.701424351,-0.213870043,0.149681927,0.477490823,-1.111595482,-0.907876932,-0.200624176,-0.544870756,-0.28535519,-0.586798866,-0.868951241,-0.513224127,-1.272406126,-1.067132122,-1.404189209,-0.638852047,-1.314257825,-1.122791256,-1.365587283,-1.068232528,-1.205567403,-0.86222481,-1.254586207,0.038360848,-0.310987599,0.039728208,-0.235040568,-0.143849407,-0.986206694,-0.249562421,0.405164268,-0.748477253,-1.280712643,-1.227021204,-0.990861792,-1.443618533,-0.793828429,-1.156389118,-0.370954978,-1.058009908,-1.224099054,-0.481171881,-0.443932097,-1.216220492,-1.31109581,-0.601101338,-1.028157833,-1.143157921,-0.693622566,-1.055753232,-0.30117431,-0.247902677,-1.041303633,-1.21065485,-1.29024248
